State of the Academy 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1. What class are you in?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,2019,,2020,,2021,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q22. Do you believe that systemic “prejudice, discrimination, or antagonism on the basis of race directed against a member of a dominant or privileged racial group” (Oxford Dictionaries) – reverse racism –  can exist?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,29.85%,137,70.15%,322,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",32.83%,65,67.17%,133,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",38.60%,149,61.40%,237,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,33.65%,351,66.35%,692,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23. Do you believe that the United States should increase border security?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,30.94%,142,69.06%,317,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",40.91%,81,59.09%,117,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",44.30%,171,55.70%,215,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,37.78%,394,62.22%,649,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24. Do you believe that the United States should increase restrictions on immigration?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,19.83%,91,80.17%,368,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",24.24%,48,75.76%,150,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",29.53%,114,70.47%,272,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,24.26%,253,75.74%,790,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25. Do you support the Black Lives Matter movement?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,89.98%,413,10.02%,46,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",82.83%,164,17.17%,34,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",80.31%,310,19.69%,76,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,85.04%,887,14.96%,156,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26. Do you consider yourself a feminist?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,79.08%,363,20.92%,96,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",77.27%,153,22.73%,45,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",70.73%,273,29.27%,113,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,75.65%,789,24.35%,254,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27. Do you believe a female should have the right to choose if she has an abortion?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, always",,"Yes, in some circumstances",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,74.51%,342,23.97%,110,1.53%,7,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",69.70%,138,27.27%,54,3.03%,6,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",74.35%,287,21.24%,82,4.40%,17,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,73.54%,767,23.59%,246,2.88%,30,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28. Do you think that gun control laws in the United States should change?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, they should be stricter.",,"No, they should remain the same.",,"Yes, they should be more lenient.",,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,93.25%,428,5.88%,27,0.87%,4,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",85.86%,170,10.10%,20,4.04%,8,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",83.16%,321,12.44%,48,4.40%,17,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,88.11%,919,9.11%,95,2.78%,29,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q29. Do you support All-Gender Housing at Andover?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,89.76%,412,10.24%,47,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",86.87%,172,13.13%,26,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",84.20%,325,15.80%,61,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,87.15%,909,12.85%,134,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q30. While at Andover, have you ever felt the need to censor yourself due to your political leaning?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,52.72%,242,47.28%,217,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",64.14%,127,35.86%,71,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",72.02%,278,27.98%,108,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,62.03%,647,37.97%,396,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q31. Do you believe there is a rape culture — "a society or environment whose prevailing social attitudes have the effect of normalizing or trivializing sexual assault and abuse" (Oxford Dictionaries) — at Andover?""31. Do you believe there is a rape culture — "a society or environment whose prevailing social attitudes have the effect of normalizing or trivializing sexual assault ""1. Do you believe there is a rape culture — "a society or environment whose prevailing social attitudes have the effect o"". Do you believe there is a rape culture — "a society or environment whose p"" Do you believe there is a rape ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,52.51%,241,47.49%,218,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",51.52%,102,48.48%,96,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",43.52%,168,56.48%,218,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,48.99%,511,51.01%,532,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q32. Do you support the discontinuation of Blue Key Head kisses this year? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,9.15%,42,90.85%,417,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",15.66%,31,84.34%,167,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",7.25%,28,92.75%,358,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,9.68%,101,90.32%,942,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q33. On average, how many hours of sleep do you get per night?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10 hours or more,,9 hours,,8 hours,,7 hours,,6 hours,,5 hours,,4 hours,,3 hours,,2 hours or less,,Total,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,0.00%,0,2.83%,13,20.26%,93,40.96%,188,24.84%,114,10.02%,46,1.09%,5,0.00%,0,0.00%,0,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",0.00%,0,1.01%,2,17.68%,35,40.40%,80,29.29%,58,9.09%,18,1.01%,2,0.51%,1,1.01%,2,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",0.78%,3,1.81%,7,14.51%,56,39.64%,153,26.68%,103,11.66%,45,3.63%,14,0.26%,1,1.04%,4,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,
Total,0.29%,3,2.11%,22,17.64%,184,40.36%,421,26.37%,275,10.45%,109,2.01%,21,0.19%,2,0.58%,6,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q34. Have you ever engaged, or do you currently engage, in self-harm?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, before Andover",,"Yes, at Andover",,"Yes, both before and at Andover",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,3.92%,18,5.66%,26,5.88%,27,84.53%,388,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",3.54%,7,7.07%,14,7.07%,14,82.32%,163,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",7.25%,28,7.77%,30,5.96%,23,79.02%,305,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,5.08%,53,6.71%,70,6.14%,64,82.07%,856,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q35. Have you ever had, or do currently have, an eating disorder?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, I developed it before coming to Andover",,"Yes, I developed it while at Andover",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,6.32%,29,5.66%,26,88.02%,404,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",5.05%,10,8.59%,17,86.36%,171,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",7.51%,29,11.66%,45,80.83%,312,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,6.52%,68,8.44%,88,85.04%,887,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q36. Do you feel insecure about your body, physical health, and/or appearance?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, always",,"Yes, regularly",,"Yes, sometimes",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,15.25%,70,20.92%,96,41.61%,191,22.22%,102,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",17.68%,35,24.24%,48,38.38%,76,19.70%,39,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",15.54%,60,25.39%,98,30.05%,116,29.02%,112,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,15.82%,165,23.20%,242,36.72%,383,24.26%,253,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q37. Do you feel insecure about your academic ability and/or intelligence?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, always",,"Yes, regularly",,"Yes, sometimes",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,13.51%,62,20.26%,93,42.70%,196,23.53%,108,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",13.13%,26,28.79%,57,37.37%,74,20.71%,41,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",16.32%,63,20.73%,80,34.97%,135,27.98%,108,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,14.48%,151,22.05%,230,38.83%,405,24.64%,257,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q38. Have you ever been to Graham House or the Sykes Wellness Center to see a counselor?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,38.34%,176,61.66%,283,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",43.94%,87,56.06%,111,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",51.81%,200,48.19%,186,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,44.39%,463,55.61%,580,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q39. Have you ever been diagnosed with depression?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, before coming to Andover",,"Yes, after coming to Andover",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,6.97%,32,6.75%,31,86.27%,396,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",2.53%,5,10.61%,21,86.87%,172,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",6.22%,24,13.21%,51,80.57%,311,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,5.85%,61,9.88%,103,84.28%,879,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q40. Have you ever been diagnosed with anxiety?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, before coming to Andover",,"Yes, after coming to Andover",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,7.19%,33,8.93%,41,83.88%,385,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",3.03%,6,10.10%,20,86.87%,172,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",8.55%,33,13.47%,52,77.98%,301,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,6.90%,72,10.83%,113,82.26%,858,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q41. Are you taking any prescription medications for depression and/or anxiety?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, for depression",,"Yes, for anxiety",,"Yes, for both",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,2.40%,11,0.87%,4,3.92%,18,92.81%,426,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",0.51%,1,1.01%,2,4.55%,9,93.94%,186,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",1.55%,6,1.81%,7,7.25%,28,89.38%,345,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1.73%,18,1.25%,13,5.27%,55,91.75%,957,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q42. Generally speaking, do you consider yourself happy at Andover?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,83.66%,384,16.34%,75,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",73.74%,146,26.26%,52,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",75.39%,291,24.61%,95,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,78.72%,821,21.28%,222,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q43. In general, do you think that Andover students are happy?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,73.42%,337,26.58%,122,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",56.57%,112,43.43%,86,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",54.15%,209,45.85%,177,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,63.09%,658,36.91%,385,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q44. Do you feel that you have a mental and/or emotional support system on campus?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, with friends",,"Yes, with faculty and/or Sykes staff",,"Yes, with friends and faculty and/or Sykes staff",,"Yes, I have my own unique support system",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,38.56%,177,3.27%,15,38.13%,175,13.73%,63,6.32%,29,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",33.33%,66,2.53%,5,34.34%,68,17.17%,34,12.63%,25,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",40.67%,157,1.55%,6,27.46%,106,18.91%,73,11.40%,44,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,38.35%,400,2.49%,26,33.46%,349,16.30%,170,9.40%,98,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q45. Do you feel alone on campus?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, always",,"Yes, regularly",,"Yes, sometimes",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,0.87%,4,13.07%,60,53.38%,245,32.68%,150,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
